location	code	store_name	product_ean
Europe/Berlin	DE	Finnentrop	2554198522304
Europe/Berlin	DE	Stuttgart	7100760070268
Europe/Moscow	RU	Stupino	0083601789901
Asia/Phnom_Penh	KH	Paoy Paet	8318920365430
Europe/Berlin	DE	Trossingen	6605927663990
Asia/Kolkata	IN	Kenda	3180451621102
America/New_York	US	Brighton Beach	1432510304320
America/New_York	US	Gates-North Gates	9136694679459
Africa/Kampala	UG	Arua	2706788748438
America/Sao_Paulo	BR	Curitiba	8340973459118
Asia/Shanghai	CN	Heyuan	9739318958031
America/Porto_Velho	BR	Porto Velho	8062634598560
Europe/Madrid	ES	Cardedeu	9384842824910
America/Belem	BR	Soure	7890846157098
America/New_York	US	Peabody	1259557765118
Europe/Moscow	RU	Severodvinsk	7445851565521
Pacific/Efate	VU	Port-Vila	1270774901981
America/Chicago	US	Westchester	4321739281604
Africa/Dar_es_Salaam	TZ	Kidodi	5969031574186
Europe/London	GB	Newbury	4104198474110
America/Boise	US	Nampa	2659646699895
America/Merida	MX	Progreso	5405796422657
Africa/Dar_es_Salaam	TZ	Mwandiga	5968577186112
Asia/Kolkata	IN	Deoli	9334186323204
Asia/Tokyo	JP	Inawashiro	1140755834167
Europe/Berlin	DE	Finnentrop	3358856157124
Asia/Shanghai	CN	Changshu City	4301268061267
America/New_York	US	North Lauderdale	6900073322235
Asia/Jakarta	ID	Jambi City	9478813126544
Europe/London	GB	Strood	7232707740313
Europe/London	GB	Rutherglen	2037169852889
Asia/Urumqi	CN	Hoxtolgay	1689636609635
Asia/Manila	PH	Santa Catalina	4948214141415
Asia/Manila	PH	Naga	0537675062342
Africa/Lagos	NG	Lagos	7190766624930
Europe/Madrid	ES	Novelda	3127648400805
America/Mexico_City	MX	Acayucan	3532427772637
America/New_York	US	Middletown	5951635454476
Asia/Kolkata	IN	Davangere	1817936377958
America/Los_Angeles	US	Bothell	4672015774670
America/New_York	US	Massapequa	2919349240436
America/Chicago	US	Searcy	1963432237507
Europe/Rome	IT	Roseto degli Abruzzi	4987886385475
Asia/Shanghai	CN	Licheng	8470011374469
Asia/Makassar	ID	Tarakan	4862560461914
America/Argentina/Buenos_Aires	AR	Pontevedra	7552927562961
America/New_York	US	Yonkers	5636258971622
Asia/Kolkata	IN	Barbil	4329297775351
America/Sao_Paulo	BR	Resplendor	7050909352161
America/Chicago	US	Huntley	0094687199041
Europe/Paris	FR	Rueil-Malmaison	4384797625810
Asia/Yekaterinburg	RU	Beryozovsky	6588817564662
Asia/Kolkata	IN	Bhayandar	1000337391078
America/Chicago	US	Schererville	0864494473340
Asia/Jakarta	ID	Tebingtinggi	8533788878728
America/Mexico_City	MX	Oaxaca	3808840260274
America/Sao_Paulo	BR	Sarandi	6656664728725
Europe/Kiev	UA	Hlukhiv	8739313356529
Africa/Blantyre	MW	Salima	9800487301963
Asia/Taipei	TW	Magong	3807939791422
Asia/Shanghai	CN	Zhoushan	2268477060707
Europe/Moscow	RU	Bavly	5283216105652
America/El_Salvador	SV	Ilopango	2391643608851
Europe/Rome	IT	Somma Vesuviana	3877574052813
America/Argentina/Cordoba	AR	Rafaela	9768320711693
Europe/Paris	FR	Quimper	3141722020475
Asia/Almaty	KZ	Otegen Batyra	4987729292311
Africa/Dar_es_Salaam	TZ	Chanika	5184342998920
Asia/Kolkata	IN	Bhuban	5936182277563
America/Mexico_City	MX	Tuxtla	1021544223259
Africa/Mogadishu	SO	Kismayo	7730566927413
America/New_York	US	Rosedale	9217402158142
America/Halifax	CA	Charlottetown	5827409699278
America/Los_Angeles	US	Opportunity	0201555157021
Europe/Prague	CZ	Most	5736703004049
Europe/Madrid	ES	Novelda	3595826492421
Europe/London	GB	Mexborough	6555852395810
Europe/Berlin	DE	Aschaffenburg	5319057349532
Asia/Tokyo	JP	Toba	6923816647266
Europe/Warsaw	PL	Reda	2080070832495
Asia/Kuala_Lumpur	MY	Gua Musang	5618978982713
Asia/Shanghai	CN	Sishui	8028735890712
Europe/Warsaw	PL	Reda	5763269243919
America/New_York	US	Far Rockaway	1300880567587
Europe/London	GB	Lymington	9919846431637
Europe/London	GB	Kingston upon Hull	1698942857784
Asia/Jerusalem	IL	Ramla	0280556647458
Asia/Yekaterinburg	RU	Kuvandyk	7852720512010
America/New_York	US	Leland	9360738046154
Asia/Karachi	PK	Sangla Hill	0518611093378
America/New_York	US	Acworth	7063807352836
America/Bogota	CO	Madrid	7532487820510
Europe/Moscow	RU	Severodvinsk	3222619040537
Asia/Yangon	MM	Dawei	7215615471951
Asia/Shanghai	CN	Foshan	6074972620874
Europe/Berlin	DE	Marburg an der Lahn	8077437103637
America/Guatemala	GT	Chichicastenango	2940041626228
Atlantic/Canary	ES	Maspalomas	9274993667149
Asia/Manila	PH	Sorsogon	6795812348238
America/Denver	US	Aurora	8831462375571
Asia/Tokyo	JP	Shimotoda	5477329758267
Asia/Seoul	KR	Goyang-si	9421850744516
Europe/Kiev	UA	Nova Kakhovka	8998751924015
Asia/Kolkata	IN	Meerut	9806589293687
Europe/Brussels	BE	Mouscron	1170504016612
Europe/London	GB	Walton-on-the-Naze	2708124876775
Europe/Stockholm	SE	Boo	9096686920412
America/New_York	US	Newburgh	2507918089120
America/Chicago	US	Schererville	5447844050269
Europe/Rome	IT	San Giuliano Milanese	2717727774456
America/Menominee	US	Iron River	6423158174319
Europe/Podgorica	ME	Budva	0805471225569
America/Sao_Paulo	BR	Santa Gertrudes	3487931392225
Europe/Rome	IT	Villabate	2696110538663
Africa/Lagos	NG	Ilesa	6960956484702
Asia/Shanghai	CN	Taozhuang	8438366512714
Europe/Tallinn	EE	Narva	1361976056637
Europe/Dublin	IE	An Muileann gCearr	0046937841101
Europe/Belgrade	RS	Negotin	2045738890033
Europe/Rome	IT	Roseto degli Abruzzi	4687237988910
Asia/Jakarta	ID	Jambi City	9419226327487
Africa/Kampala	UG	Kitgum	4095112108788
Asia/Karachi	PK	Bhit Shah	8433612307656
Europe/Kiev	UA	Nova Kakhovka	2845473656136
America/Port_of_Spain	TT	Port of Spain	7119972407755
America/Merida	MX	Progreso	4009363286195
America/Matamoros	MX	Heroica Matamoros	3316112928574
Asia/Jakarta	ID	Tebingtinggi	0452370481758
Asia/Shanghai	CN	Dongfeng	5565014307446
America/La_Paz	BO	Tupiza	4952818315059
America/Glace_Bay	CA	Sydney	8273221614178
America/New_York	US	Morningside Heights	6410239326538
Africa/Lubumbashi	CD	Beni	1302403694312
America/Sao_Paulo	BR	Carlos Barbosa	4708031738577
Asia/Tehran	IR	Shahre Jadide Andisheh	5021441552526
Europe/Berlin	DE	Stade	4071745716712
Europe/Kiev	UA	Zvenihorodka	8137295995598
Europe/Zurich	CH	Adliswil	3222291547744
Europe/London	GB	Thetford	9832793008519
America/Sao_Paulo	BR	Itabirito	4063742697606
Asia/Shanghai	CN	Meizhou	6748935155047
Africa/Bangui	CF	Carnot	2266146948752
Asia/Kolkata	IN	Narwar	6420458182228
America/Vancouver	CA	Kelowna	0062221619072
Europe/London	GB	Strood	0744606231641
America/Sao_Paulo	BR	Loanda	1984270886528
America/Chicago	US	Hutto	5553781170165
Europe/Skopje	MK	Bogovinje	2696488128008
America/Chicago	US	Rosemount	9362621216521
Africa/Algiers	DZ	Frenda	2210701516313
Africa/Nairobi	KE	Lodwar	3429585285690
Asia/Tokyo	JP	Yao	6414648611704
Europe/Madrid	ES	Talavera de la Reina	9570390983456
America/Argentina/Ushuaia	AR	Ushuaia	6276125321939
America/New_York	US	Leland	5625900160620
Europe/Kiev	UA	Shepetivka	9391577014448
Europe/Moscow	RU	Nizhniy Lomov	4704270431439
Europe/Moscow	RU	Buynaksk	1784955358186
America/Toronto	CA	Markham	0218694858900
Europe/Moscow	RU	Danilov	3721549592715
Europe/Berlin	DE	Dahlem	7407751620687
America/Los_Angeles	US	Glendale	3876961236362
America/Los_Angeles	US	Norco	8856413506361
Europe/Dublin	IE	An Muileann gCearr	5400720034470
Africa/Kampala	UG	Kitgum	0621691179051
Asia/Karachi	PK	Mianwali	7366554642763
America/Sao_Paulo	BR	Valinhos	2572453736716
Europe/Paris	FR	Gonesse	0433945822886
America/New_York	US	Bridgeport	6774518620930
America/Detroit	US	Port Huron	9799054319336
Africa/Porto-Novo	BJ	Tchaourou	6384579510547
America/Santiago	CL	Ovalle	6226616885501
Asia/Novokuznetsk	RU	Yashkino	8534873704045
Asia/Manila	PH	Santa Catalina	6396255791041
America/Chicago	US	Lower West Side	5075962630393
Africa/Algiers	DZ	Messaad	1976052171458
America/Los_Angeles	US	Pahrump	4776366808081
Europe/Paris	FR	Fontenay-aux-Roses	4850165569104
America/El_Salvador	SV	Sonzacate	0352571792908
Asia/Tokyo	JP	Suzaka	1384383326018
Europe/Istanbul	TR	Mudanya	1018842399380
America/Chicago	US	Ada	7153871934851
Europe/Rome	IT	Somma Vesuviana	7871692441203
Asia/Yekaterinburg	RU	Tavda	3482641868510
Asia/Qyzylorda	KZ	Kyzylorda	7001685045242
Europe/Zaporozhye	UA	Svatove	0957915653480
Asia/Kolkata	IN	Narwar	5272648581431
Asia/Seoul	KR	Nonsan	1219394029941
Europe/Rome	IT	Tortona	3392661575131
Europe/Madrid	ES	Leioa	8473929771559
Europe/Amsterdam	NL	Losser	9580349436759
America/Bogota	CO	Madrid	9775077648066
Asia/Kolkata	IN	Deoli	9279673779310
America/Sao_Paulo	BR	Curitiba	2967785143743
Europe/London	GB	Arbroath	6181083635991
Africa/Cairo	EG	Juhaynah	4452074964065
Europe/London	GB	Great Wyrley	4202126335868
Europe/Istanbul	TR	Serinhisar	5135194146816
America/Bogota	CO	Socorro	6985594928791
Asia/Shanghai	CN	Changzhi	3593670480922
Asia/Kolkata	IN	Dalsingh Sarai	1919433293554
Asia/Shanghai	CN	Zhoucun	9905708524395
Africa/Dar_es_Salaam	TZ	Kidodi	6819047330636
Europe/Brussels	BE	Mouscron	5573361793911
America/Santiago	CL	San Bernardo	7440691978838
America/Bahia	BR	Canavieiras	9843325300179
Europe/Zaporozhye	UA	Polohy	6904332206588
Europe/Kiev	UA	Voznesensk	2218821800527
Europe/Amsterdam	NL	Emmeloord	2428553316498
Asia/Almaty	KZ	Otegen Batyra	6239627846997
Asia/Shanghai	CN	Boli	2009640213595
America/Los_Angeles	US	North Tustin	0020053105538
Europe/Madrid	ES	Cardedeu	2576318156671
Asia/Yekaterinburg	RU	Saraktash	2616318581575
America/Fortaleza	BR	Barras	4429254537012
Europe/London	GB	Lower Earley	8685868202609
Europe/Rome	IT	Misterbianco	1564413287148
America/Chicago	US	Copperas Cove	3568215444301
Africa/Dar_es_Salaam	TZ	Kidodi	7146813959357
America/Matamoros	MX	Heroica Matamoros	1450344143670
Europe/Moscow	RU	Gudermes	4685823568218
America/Port_of_Spain	TT	Port of Spain	2663573123583
America/Indiana/Indianapolis	US	Granger	7081405778810
Asia/Kolkata	IN	Calangute	4915036423203
Africa/Luanda	AO	Luena	5091385385269
Europe/Rome	IT	Sassari	6737648166068
America/Indiana/Indianapolis	US	Granger	7496362798311
America/Bogota	CO	Honda	6346348257862
Asia/Dhaka	BD	Kushtia	4416345637355
Africa/Ndjamena	TD	Mongo	3427265270509
Asia/Kolkata	IN	Kheda	9005831944920
Europe/Berlin	DE	Zeitz	6854160488376
Europe/Paris	FR	Marly-le-Roi	2066332831642
Europe/Sofia	BG	Montana	4815735476039
Europe/Moscow	RU	Gudermes	6037952403003
Europe/Paris	FR	La Garenne-Colombes	2752634573969
America/New_York	US	Palm Valley	7226017611876
Africa/Brazzaville	CG	Brazzaville	1650325646170
America/Panama	PA	Chilibre	8898805345295
America/Los_Angeles	US	Bryn Mawr-Skyway	5427067967650
Europe/Kiev	UA	Nova Kakhovka	7580041044025
Asia/Makassar	ID	Tarakan	9252447623415
Europe/Moscow	RU	Buynaksk	2049390524497
America/Los_Angeles	US	North Tustin	4567168653920
Europe/Rome	IT	Portogruaro	4769418697634
Australia/Melbourne	AU	Carnegie	6601681609571
America/New_York	US	Rosedale	3396897459012
Europe/Zagreb	HR	Split	0118369005229
Asia/Almaty	KZ	Zaysan	7523168212502
America/New_York	US	Front Royal	1512395937285
Asia/Manila	PH	Manaoag	8731597821250
America/New_York	US	Stockbridge	5042034815422
Europe/Vienna	AT	Floridsdorf	2697879772749
America/New_York	US	Fitchburg	7330979665089
America/Los_Angeles	US	Keizer	4347754610144
America/New_York	US	Norwalk	0131676522524
America/Los_Angeles	US	Aloha	6267531482437
Europe/Madrid	ES	Amposta	8736558813824
Asia/Tokyo	JP	Ueno-ebisumachi	2269133274919
Africa/Douala	CM	Mbalmayo	6466373005785
America/Chicago	US	Fresno	4912469588509
America/Recife	BR	Recife	4751036340368
Europe/Lisbon	PT	Carnaxide	9810781098445
Asia/Shanghai	CN	Shaowu	0936710958921
Asia/Seoul	KR	Nonsan	5296329281083
Asia/Kolkata	IN	Pujali	1683731928356
Asia/Dhaka	BD	Kushtia	6330132236911
America/Sao_Paulo	BR	Caldas Novas	4135595813066
America/Chicago	US	San Juan	2564792930894
Africa/Kampala	UG	Paidha	0153332995992
America/New_York	US	Boston	1177401660825
Africa/Algiers	DZ	Ksar Chellala	4798333790847
Europe/Amsterdam	NL	Culemborg	5464093644841
Asia/Shanghai	CN	Huangshi	1290802408251
Asia/Jakarta	ID	Kediri	8461915602598
Asia/Tokyo	JP	Suzaka	0882383149176
America/Sao_Paulo	BR	Itaperuna	7831812550093
Europe/Brussels	BE	Beveren	8299731017759
America/Argentina/Cordoba	AR	Rafaela	1679378208265
Europe/Berlin	DE	Rudolstadt	7361580232186
America/Chicago	US	Brenham	5132114258079
Asia/Jakarta	ID	Tebingtinggi	6378426747842
Asia/Tokyo	JP	Toba	8084940429321
America/Toronto	CA	Norfolk County	9365177611093
Asia/Tokyo	JP	Okegawa	5663927724029
America/New_York	US	West Chester	1778572901559
Asia/Karachi	PK	Qadirpur Ran	1086494847894
Europe/Andorra	AD	les Escaldes	9171050336874
Europe/Sarajevo	BA	Bijeljina	9343288003853
America/New_York	US	Port Richmond	8760006994469
Asia/Kolkata	IN	Kalavoor	7182740634943
Asia/Kuala_Lumpur	MY	Kampung Ayer Molek	7604931301637
Asia/Shanghai	CN	Taozhuang	3747256699196
Asia/Makassar	ID	Majene	3130348423319
America/New_York	US	Leland	5565440487866
Australia/Brisbane	AU	Carindale	2367675002509
America/Sao_Paulo	BR	Guapimirim	9665442796853
Asia/Karachi	PK	Daud Khel	0650307798294
Europe/Moscow	RU	Gudermes	3832180724479
America/Chicago	US	Muskogee	3818089329052
America/Lima	PE	Yunguyo	9356411034662
Europe/Berlin	DE	Barmbek-Nord	9231316589755
Africa/Maputo	MZ	Maxixe	4288863122213
Europe/Madrid	ES	Baza	6207446517138
America/New_York	US	Martinsburg	8720831912489
Europe/Kiev	UA	Nova Kakhovka	1162211168869
America/Los_Angeles	US	American Canyon	6595145807767
Asia/Tokyo	JP	Namerikawa	1677579022758
Europe/London	GB	Arbroath	1971920012277
Asia/Jakarta	ID	Wangon	9008096027506
Asia/Karachi	PK	Khairpur Mir’s	0357002074479
America/Los_Angeles	US	Camarillo	4412690146498
Europe/Warsaw	PL	Reda	4612264241912
Europe/Rome	IT	Mesagne	7946738256247
America/New_York	US	Gates-North Gates	6891207557213
Europe/Berlin	DE	Bad Segeberg	5726235887517
America/Chicago	US	Ada	7920800199274
Europe/Minsk	BY	Vitebsk	2192092482449
Asia/Jakarta	ID	Tebingtinggi	8877771612280
Asia/Shanghai	CN	Laiwu	6572634143339
Europe/London	GB	Winsford	5800004557761
Asia/Dhaka	BD	Manikchari	8102269431655
America/Sao_Paulo	BR	Miracema	6090585703216
Asia/Yangon	MM	Dawei	8618438608020
Europe/Paris	FR	Fontenay-aux-Roses	7046389941612
Europe/London	GB	Arbroath	2022852815739
Europe/Rome	IT	Somma Vesuviana	4774988928682
Europe/Berlin	DE	Karben	0067669764100
Asia/Shanghai	CN	Nanpiao	4926029630164
Europe/Paris	FR	Arles	1854553673803
Europe/Madrid	ES	Tudela	1489407420311
Asia/Jakarta	ID	Pameungpeuk	3008939761600
Asia/Tokyo	JP	Annaka	2773369771048
Asia/Kolkata	IN	Calangute	6248896828313
Asia/Dhaka	BD	Manikchari	0702259218631
Asia/Urumqi	CN	Hoxtolgay	7537500899832
Asia/Tokyo	JP	Karatsu	2999121619643
Asia/Shanghai	CN	Boli	2358057492926
Europe/Berlin	DE	Wesseling	2006535131484
Europe/Berlin	DE	Gauting	7878570194473
Africa/Lagos	NG	Yenagoa	7642937534949
Europe/Berlin	DE	Korschenbroich	2247991065290
Africa/Dar_es_Salaam	TZ	Iringa	4786192712025
Europe/Berlin	DE	Oschatz	7496799310421
Europe/Istanbul	TR	Aksaray	5517131413920
Asia/Kolkata	IN	Adra	9896528078673
Africa/Algiers	DZ	Messaad	2908409688295
Europe/London	GB	Rhosllanerchrugog	9727597141107
Europe/Copenhagen	DK	Frederiksberg	5960420296740
Asia/Kolkata	IN	Patti	4598985602563
Europe/Moscow	RU	Tver	6029875805248
Asia/Kuala_Lumpur	MY	Ulu Tiram	4443343223686
Africa/Bamako	ML	Kati	2710092583555
Africa/Johannesburg	ZA	Mokopane	2249381773044
America/Chicago	US	Brentwood Estates	8997119118004
Europe/Paris	FR	Pamiers	7113602091741
America/El_Salvador	SV	Sonzacate	7533263644887
Asia/Shanghai	CN	Pucheng	2617077488198
Europe/Sofia	BG	Smolyan	2439021264869
Europe/Moscow	RU	Gudermes	0240772866866
Europe/Rome	IT	Chiavari	4582062843222
Asia/Shanghai	CN	Yingkou	3096641278479
Europe/London	GB	Brierley Hill	0118681142428
Africa/Dar_es_Salaam	TZ	Iringa	9986183295499
Asia/Irkutsk	RU	Ulan-Ude	0932094372186
America/New_York	US	Cypress Hills	5830915758773
Europe/Brussels	BE	Temse	8267812608042
Europe/Kiev	UA	Krasyliv	1430385426383
Europe/Istanbul	TR	Mudanya	2477531087554
Europe/Moscow	RU	Shushary	3415097577767
Africa/Lagos	NG	Gaya	2499142228065
Asia/Bangkok	TH	Thap Than	6273106391066
America/New_York	US	Boston	7070170664145
America/Mexico_City	MX	Oaxaca	1728088145053
Africa/Nairobi	KE	Busia	3345220602656
America/Bogota	CO	Andes	5064898250324
Europe/Moscow	RU	Arzamas	7832768414378
Asia/Jakarta	ID	Simpang	5842662758883
Europe/Moscow	RU	Zhukovka	3743661494302
Europe/Berlin	DE	Oschatz	9640119370970
America/Havana	CU	Media Luna	1687122884559
America/Sao_Paulo	BR	Pato Branco	9426376022049
Asia/Shanghai	CN	Changshu City	4178536660763
America/Los_Angeles	US	Bothell	8800385898665
America/Chicago	US	Kaukauna	0829972437788
Asia/Seoul	KR	Eisen	8380269721321
America/Sao_Paulo	BR	Palmeira	8281777783705
Africa/Nairobi	KE	Busia	6224855054320
America/Chicago	US	Fairview Heights	2106702431659
Asia/Kuala_Lumpur	MY	Ulu Tiram	1217410727604
Europe/Rome	IT	Mesagne	4444925664804
Asia/Tokyo	JP	Gero	8167408406970
America/Lima	PE	Yunguyo	4065133418784
Europe/Berlin	DE	Hermsdorf	2320170587025
Europe/Zurich	CH	Adliswil	3821680952314
Europe/London	GB	Gainsborough	4375256630506
America/New_York	US	Rosedale	7664478769727
Pacific/Honolulu	US	Kahului	0730598682677
America/New_York	US	Kendall	8070977064277
Europe/Paris	FR	La Garenne-Colombes	4485687778910
America/Mexico_City	MX	Guanajuato	1044148891051
Europe/Istanbul	TR	Gaziantep	2766332718102
Asia/Kolkata	IN	Saharsa	3761081981905
Asia/Krasnoyarsk	RU	Sharypovo	7475093601701
America/Manaus	BR	Itacoatiara	7656278033337
Asia/Tehran	IR	Shahre Jadide Andisheh	4077003659494
America/Manaus	BR	Itacoatiara	3956184278452
America/New_York	US	Sterling	0530391012554
America/New_York	US	Gainesville	5232802414142
America/New_York	US	Punta Gorda Isles	6043451247963
Asia/Tbilisi	GE	Kobuleti	5802276418917
America/Lima	PE	Iquitos	4697817149266
Asia/Shanghai	CN	Zaozhuang	0099988069628
America/Sao_Paulo	BR	Marau	4398604008888
Europe/Moscow	RU	Tver	3911766676330
Asia/Shanghai	CN	Ulanhot	7269913844153
Asia/Tokyo	JP	Toyokawa	0326128815860
Europe/Malta	MT	Valletta	7742887925290
Asia/Kolkata	IN	Puducherry	6901731546659
Asia/Karachi	PK	Fazilpur	6508789496464
Asia/Seoul	KR	Sinhyeon	3710567193714
Asia/Tokyo	JP	Ina	0859498477586
America/Detroit	US	Port Huron	8806942785133
America/New_York	US	Venice	3927231940905
America/Sao_Paulo	BR	Itabirito	1044219971576
Asia/Tehran	IR	Darreh Shahr	2938443798797
Asia/Tokyo	JP	Toyokawa	7484934704884
Europe/Warsaw	PL	Reda	4589652847394
Asia/Jerusalem	IL	Rahat	9106417521518
Asia/Karachi	PK	Mianwali	1217429101457
Europe/Moscow	RU	Stupino	1580967490254
America/Havana	CU	Jaruco	2910491539713
Asia/Tokyo	JP	Namerikawa	0239374285816
America/Sao_Paulo	BR	Viradouro	7577032358728
Europe/Rome	IT	Malnate	6803411619243
America/Chicago	US	Longview	0990945486963
Asia/Kolkata	IN	Dombivli	5484642426674
Asia/Aqtobe	KZ	Shalqar	6854641985431
America/Bogota	CO	Socorro	8125211185802
Europe/Moscow	RU	Naro-Fominsk	8579190592395
America/Tegucigalpa	HN	Olanchito	1340633181851
Asia/Tokyo	JP	Yamada	7945050623232
America/Bahia	BR	Tucano	6987299028462
Asia/Taipei	TW	Magong	6116279426879
America/New_York	US	Peabody	0630407110622
Africa/Nairobi	KE	Lodwar	8133840478615
Africa/Bamako	ML	Kati	8111135039116
America/Chicago	US	Odessa	2854301332111
Asia/Kolkata	IN	Periyakulam	0531140311553
Asia/Kolkata	IN	Rajaori	6890373685690
America/Fortaleza	BR	Pedro II	1780304455957
America/Costa_Rica	CR	Liberia	2140984971113
Europe/Moscow	RU	Kireyevsk	2568366076391
America/New_York	US	Middle River	9157266574514
America/New_York	US	Stockbridge	2143953424757
Africa/Monrovia	LR	New Yekepa	4503313687877
Asia/Kolkata	IN	Rafiganj	3791561291439
America/Indiana/Indianapolis	US	Granger	7000997192132
America/Mexico_City	MX	Santa Rosa Jauregui	2940684656453
America/Havana	CU	Corralillo	7325899827006
Europe/Vilnius	LT	Ukmerge	2641137553854
America/New_York	US	Peabody	3438200875253
Europe/Berlin	DE	Radevormwald	1510635914133
Asia/Urumqi	CN	Hoxtolgay	3330816972077
Asia/Shanghai	CN	Danjiangkou	2925748375662
Europe/Rome	IT	Catania	5289995413186
Asia/Yakutsk	RU	Aykhal	8298308993892
America/Mexico_City	MX	Zacoalco de Torres	1383577519564
America/Los_Angeles	US	Palm Desert	5496890589353
Asia/Jakarta	ID	Labuhan Deli	1871164386878
Asia/Seoul	KR	Nonsan	7253133481908
America/New_York	US	Jersey City	8771613872439
Asia/Kolkata	IN	Supaul	0654403924670
Europe/Rome	IT	Campobasso	8646751312492
Africa/Algiers	DZ	El Achir	2279997873364
America/Toronto	CA	Dorval	0934626656733
Europe/London	GB	Southsea	7063010571642
